Crop,Variety,State,Duration in days,Cost,Quantity,Predicted_Production
Paddy,Chinsurah Rice (IET 19140),Andhra Pradesh,150,46450.2,167.7,419.1780822
Paddy,Chinsurah Rice (IET 19140), Tamil Nadu,150,31603.2,167.7,419.1780822
Paddy,Chinsurah Rice (IET 19140), Gujarat,150,31603.2,167.7,419.1780822
Paddy,Chinsurah Rice (IET 19140), Orissa,150,31603.2,167.7,419.1780822
Paddy,Chinsurah Rice (IET 19140), West Bengal,150,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11),Himachal Pradesh,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Uttarakhand,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Jammu And Kashmir,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Arunachal Pradesh,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Assam,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Manipur,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Meghalaya,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Mizoram,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Nagaland,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Sikkim,144,31603.2,167.7,419.1780822
Paddy,(CNI 383-5-11), Tripura,144,31603.2,167.7,419.1780822
Paddy,IGKVR-1 (IET 19569),Chhattisgarh,110,31603.2,167.7,419.1780822
Paddy,IGKVR-1 (IET 19569), Madhya Pradesh,110,31603.2,167.7,419.1780822
Paddy,IGKVR-1 (IET 19569), Orissa,110,31603.2,167.7,419.1780822
Paddy,IGKVR-2 (IET 19795),Chhattisgarh,150,31603.2,167.7,419.1780822
Paddy,IGKVR-2 (IET 19795), Bihar,150,31603.2,167.7,419.1780822
Paddy,IGKVR-2 (IET 19795), Orissa,150,31603.2,167.7,419.1780822
Paddy,CR Dhan 401 (REETA),Orissa,148,25909.05,167.7,419.1780822
Paddy,CR Dhan 401 (REETA), West Bengal,148,31603.2,167.7,419.1780822
Paddy,CR Dhan 401 (REETA), Tamil Nadu,148,31603.2,167.7,419.1780822
Paddy,CR Dhan 401 (REETA), Andhra Pradesh,148,31603.2,167.7,419.1780822
Paddy,CR Dhan 601 (IET 18558),Orissa,160,25909.05,167.7,419.1780822
Paddy,CR Dhan 601 (IET 18558), West Bengal,160,31603.2,167.7,419.1780822
Paddy,CR Dhan 601 (IET 18558), Assam,160,31603.2,167.7,419.1780822
Paddy,CR Dhan 501 (IET 19189),Uttar Pradesh,152,28144.5,167.7,419.1780822
Paddy,CR Dhan 501 (IET 19189), Assam,152,31603.2,167.7,419.1780822
Paddy,RC Maniphou 11 (IET 20193),Meghalaya,134,31603.2,167.7,419.1780822
Paddy,RC Maniphou 11 (IET 20193), Manipur,134,31603.2,167.7,419.1780822
Wheat,MPO(JW) 1215 (MPO 1215),Madhya Pradesh,120,22489.75,116.12,287.3424658
Wheat,MPO(JW) 1215 (MPO 1215), Chhattisgarh,120,31428.438,116.12,287.3424658
Wheat,MPO(JW) 1215 (MPO 1215), Gujarat,120,31428.438,116.12,287.3424658
Wheat,MPO(JW) 1215 (MPO 1215), Rajasthan,120,31428.438,116.12,287.3424658
Wheat,MACS 6222,Maharashtra,108,31428.438,116.12,287.3424658
Wheat,MACS 6222, Karnataka,108,31428.438,116.12,287.3424658
Wheat,MACS 6222, Andhra Pradesh,108,31428.438,116.12,287.3424658
Wheat,MACS 6222, Tamil Nadu,108,31428.438,116.12,287.3424658
Wheat,PDW 314,Punjab,169,35423.48,116.12,287.3424658
Wheat,PDW 314, Haryana,169,31428.438,116.12,287.3424658
Wheat,PDW 314, Uttar Pradesh,169,31428.438,116.12,287.3424658
Wheat,PDW 314, Delhi,169,31428.438,116.12,287.3424658
Wheat,PDW 314, Rajasthan,169,31428.438,116.12,287.3424658
Wheat,PDW 314, Uttarakhand,169,31428.438,116.12,287.3424658
Wheat,PDW 314, Himachal Pradesh,169,31428.438,116.12,287.3424658
Wheat,DBW39,Uttar Pradesh,123,31902.74,116.12,287.3424658
Wheat,DBW39, Bihar,123,31428.438,116.12,287.3424658
Wheat,DBW39, Jharkhand,123,31428.438,116.12,287.3424658
Wheat,DBW39, West Bengal,123,31428.438,116.12,287.3424658
Wheat,DBW39, Assam,123,31428.438,116.12,287.3424658
Wheat,DBW39, Orissa,123,31428.438,116.12,287.3424658
Wheat,VL Gehun 907 (VL 907),Himachal Pradesh,180,31428.438,116.12,287.3424658
Wheat,VL Gehun 907 (VL 907), Jammu And Kashmir,180,31428.438,116.12,287.3424658
Wheat,VL Gehun 907 (VL 907), Uttarakhand,180,31428.438,116.12,287.3424658
Wheat,VL Gehun 907 (VL 907), Sikkim,180,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507,Himachal Pradesh,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Uttarakhand,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Jammu And Kashmir,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Arunachal Pradesh,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Assam,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Manipur,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Meghalaya,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Mizoram,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Nagaland,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Sikkim,140,31428.438,116.12,287.3424658
Wheat,Pusa Suketi HS 507, Tripura,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563),Uttar Pradesh,140,31902.74,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Bihar,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Jharkhand,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), West Bengal,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Orissa,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Assam,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Arunachal Pradesh,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Manipur,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Meghalaya,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Mizoram,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Nagaland,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Sikkim,140,31428.438,116.12,287.3424658
Wheat,Pusa Prachi (HI 1563), Tripura,140,31428.438,116.12,287.3424658
Wheat,WHD 943,Punjab,140,35423.48,116.12,287.3424658
Wheat,WHD 943, Haryana,140,31428.438,116.12,287.3424658
Wheat,WHD 943, Delhi,140,31428.438,116.12,287.3424658
Wheat,WHD 943, Rajasthan,140,31428.438,116.12,287.3424658
Wheat,WHD 943, Uttar Pradesh,140,31428.438,116.12,287.3424658
Wheat,WHD 943, Jammu And Kashmir,140,31428.438,116.12,287.3424658
Wheat,WHD 943, Himachal Pradesh,140,31428.438,116.12,287.3424658
Wheat,WHD 943, Uttarakhand,140,31428.438,116.12,287.3424658
Wheat,Netravati (NIAW 1415),Maharashtra,140,31428.438,116.12,287.3424658
Wheat,Netravati (NIAW 1415), Karnataka,140,31428.438,116.12,287.3424658
Barley,BH-902,Punjab,130,33198.94975,73.96,189.2120548
Barley,BH-902, Haryana,130,33198.94975,73.96,189.2120548
Barley,BH-902,  Uttar Pradesh,130,33198.94975,73.96,189.2120548
Barley,BH-902, Delhi,130,33198.94975,73.96,189.2120548
Barley,BH-902, Rajasthan,130,33198.94975,73.96,189.2120548
Barley,BH-902, Uttarakhand,130,33198.94975,73.96,189.2120548
Barley,BH-902, Jammu And Kashmir,130,33198.94975,73.96,189.2120548
Barley,DWRB 73,Punjab,160,33198.94975,73.96,189.2120548
Barley,DWRB 73, Haryana,160,33198.94975,73.96,189.2120548
Barley,DWRB 73, Uttar Pradesh,160,33198.94975,73.96,189.2120548
Barley,DWRB 73, Delhi,160,33198.94975,73.96,189.2120548
Barley,DWRB 73, Rajasthan,160,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380),Himachal Pradesh,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Uttarakhand,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Jammu And Kashmir,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Arunachal Pradesh,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Assam,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Manipur,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Meghalaya,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Mizoram,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Nagaland,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Sikkim,190,33198.94975,73.96,189.2120548
Barley,Pusa Losar (BH- 380), Tripura,190,33198.94975,73.96,189.2120548
Maize,HSC1,Himachal Pradesh,81,26094.56,162.14,479.0663014
Maize,HSC1, Uttarakhand,81,26094.56,162.14,479.0663014
Maize,HQPM-4,Punjab,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Haryana,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Delhi,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Uttar Pradesh,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Bihar,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Jharkhand,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Orissa,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Andhra Pradesh,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Karnataka,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Tamil Nadu,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Maharashtra,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Rajasthan,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Madhya Pradesh,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Gujarat,95,26094.56,162.14,479.0663014
Maize,HQPM-4, Chhattisgarh,95,26094.56,162.14,479.0663014
Maize,MCH 36 (Hybrid) (DKC 9099),Karnataka,99,20671.54,162.14,479.0663014
Maize,MCH 36 (Hybrid) (DKC 9099), Tamil Nadu,99,26094.56,162.14,479.0663014
Maize,MCH 36 (Hybrid) (DKC 9099), Maharashtra,99,26094.56,162.14,479.0663014
Maize,DHM 119 (BH 4062),Andhra Pradesh,92,37801.85,162.14,479.0663014
Maize,DHM 119 (BH 4062), Maharashtra,92,26094.56,162.14,479.0663014
Maize,DHM 119 (BH 4062), Tamil Nadu,92,26094.56,162.14,479.0663014
Maize,DHM 119 (BH 4062), Karnataka,92,26094.56,162.14,479.0663014
Maize,PMH 4 (JH 31153),Punjab,92,26094.56,162.14,479.0663014
Maize,PMH 4 (JH 31153), Haryana,92,26094.56,162.14,479.0663014
Maize,PMH 4 (JH 31153), Delhi,92,26094.56,162.14,479.0663014
Maize,PMH 4 (JH 31153), Uttar Pradesh,92,26094.56,162.14,479.0663014
Maize,PMH 5 (JH 3110),Rajasthan,92,19810.29,162.14,479.0663014
Maize,PMH 5 (JH 3110), Madhya Pradesh,92,26094.56,162.14,479.0663014
Maize,PMH 5 (JH 3110), Gujarat,92,26094.56,162.14,479.0663014
Maize,PMH 5 (JH 3110), Chhattisgarh,92,26094.56,162.14,479.0663014
Pearl Millet,Nandi-65 (MH-1549),Rajasthan,80,33198.94975,92.14,293.8767123
Pearl Millet,Nandi-65 (MH-1549), Gujarat,80,33198.94975,92.14,293.8767123
Pearl Millet,Nandi-65 (MH-1549), Haryana,80,33198.94975,92.14,293.8767123
Pearl Millet,Nandi-65 (MH-1549), Madhya Pradesh,80,33198.94975,92.14,293.8767123
Pearl Millet,Nandi-65 (MH-1549), Uttar Pradesh,80,33198.94975,92.14,293.8767123
