Crop,Variety,Season/ duration in days,Recommended Zone
Paddy,Chinsurah Rice (IET 19140),150,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, West Bengal"
Paddy,(CNI 383-5-11),144,
Paddy,IGKVR-1 (IET 19569),110,"Chhattisgarh, Madhya Pradesh, Orissa"
Paddy,IGKVR-2 (IET 19795),150,"Chhattisgarh, Bihar, Orissa"
Paddy,CR Dhan 401 (REETA),148,"Orissa, West Bengal, Tamil Nadu, Andhra Pradesh"
Paddy,CR Dhan 601 (IET 18558),160,"Orissa, West Bengal, Assam"
Paddy,CR Dhan 501 (IET 19189),152,"Uttar Pradesh, Assam"
Paddy,RC Maniphou 11 (IET 20193),134,"Meghalaya, Manipur"
Wheat,MPO(JW) 1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat, Rajasthan"
Wheat,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh, Tamil Nadu"
Wheat,PDW 314,169,"Punjab, Haryana, Uttar Pradesh, Delhi, Rajasthan, Uttarakhand, Himachal Pradesh"
Wheat,DBW39,123,"Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam, Orissa"
Wheat,VL Gehun 907 (VL 907),180,"Himachal Pradesh, Jammu And Kashmir, Uttarakhand, Sikkim"
Wheat,Pusa Suketi HS 507,140,"Himachal Pradesh, Uttarakhand, Jammu And Kashmir, Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura"
Wheat,Pusa Prachi (HI 1563),140,"Uttar Pradesh, Bihar, Jharkhand, West Bengal, Orissa, Assam, Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura"
Wheat,WHD 943,140,"Punjab, Haryana, Delhi, Rajasthan, Uttar Pradesh, Jammu And Kashmir, Himachal Pradesh, Uttarakhand"
Wheat,Netravati (NIAW 1415),140,"Maharashtra, Karnataka"
Barley,BH-902,130,"Punjab, Haryana,  Uttar Pradesh, Delhi, Rajasthan, Uttarakhand, Jammu And Kashmir"
Barley,DWRB 73,160,"Punjab, Haryana, Uttar Pradesh, Delhi, Rajasthan"
Barley,Pusa Losar (BH- 380),190,"Himachal Pradesh, Uttarakhand, Jammu And Kashmir, Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura"
Maize,HSC1,81,"Himachal Pradesh, Uttarakhand"
Maize,HQPM-4,95,"Punjab, Haryana, Delhi, Uttar Pradesh, Bihar, Jharkhand, Orissa, Andhra Pradesh, Karnataka, Tamil Nadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat, Chhattisgarh"
Maize,MCH 36 (Hybrid) (DKC 9099),99,"Karnataka, Tamil Nadu, Maharashtra"
Maize,DHM 119 (BH 4062),92,"Andhra Pradesh, Maharashtra, Tamil Nadu, Karnataka"
Maize,PMH 4 (JH 31153),92,"Punjab, Haryana, Delhi, Uttar Pradesh"
Maize,PMH 5 (JH 3110),92,"Rajasthan, Madhya Pradesh, Gujarat, Chhattisgarh"
Pearl Millet,Nandi-65 (MH-1549),80,"Rajasthan, Gujarat, Haryana, Madhya Pradesh, Uttar Pradesh, Punjab, Delhi"
Pearl Millet,Nandi-61 (MH-1548),81,"Rajasthan, Gujarat, Haryana, Punjab, Delhi"
Pearl Millet,86M64 (MSH 203) (Hybrid),83,"Rajasthan, Gujarat, Maharashtra, Tamil Nadu"
Pearl Millet,MH 1540 (86M64) (Hybrid),82,"Andhra Pradesh, Karnataka, Tamil Nadu, Maharashtra"
