Crop,Variety,State,Duration in days
Paddy,Chinsurah Rice (IET 19140),"['Andhra Pradesh', ' Tamil Nadu', ' Gujarat', ' Orissa', ' West Bengal']",150
Paddy,(CNI 383-5-11),"['Himachal Pradesh', ' Uttarakhand', ' Jammu And Kashmir', ' Arunachal Pradesh', ' Assam', ' Manipur', ' Meghalaya', ' Mizoram', ' Nagaland', ' Sikkim', ' Tripura']",144
Paddy,IGKVR-1 (IET 19569),"['Chhattisgarh', ' Madhya Pradesh', ' Orissa']",110
Paddy,IGKVR-2 (IET 19795),"['Chhattisgarh', ' Bihar', ' Orissa']",150
Paddy,CR Dhan 401 (REETA),"['Orissa', ' West Bengal', ' Tamil Nadu', ' Andhra Pradesh']",148
Paddy,CR Dhan 601 (IET 18558),"['Orissa', ' West Bengal', ' Assam']",160
Paddy,CR Dhan 501 (IET 19189),"['Uttar Pradesh', ' Assam']",152
Paddy,RC Maniphou 11 (IET 20193),"['Meghalaya', ' Manipur']",134
Wheat,MPO(JW) 1215 (MPO 1215),"['Madhya Pradesh', ' Chhattisgarh', ' Gujarat', ' Rajasthan']",120
Wheat,MACS 6222,"['Maharashtra', ' Karnataka', ' Andhra Pradesh', ' Tamil Nadu']",108
Wheat,PDW 314,"['Punjab', ' Haryana', ' Uttar Pradesh', ' Delhi', ' Rajasthan', ' Uttarakhand', ' Himachal Pradesh']",169
Wheat,DBW39,"['Uttar Pradesh', ' Bihar', ' Jharkhand', ' West Bengal', ' Assam', ' Orissa']",123
Wheat,VL Gehun 907 (VL 907),"['Himachal Pradesh', ' Jammu And Kashmir', ' Uttarakhand', ' Sikkim']",180
Wheat,Pusa Suketi HS 507,"['Himachal Pradesh', ' Uttarakhand', ' Jammu And Kashmir', ' Arunachal Pradesh', ' Assam', ' Manipur', ' Meghalaya', ' Mizoram', ' Nagaland', ' Sikkim', ' Tripura']",140
Wheat,Pusa Prachi (HI 1563),"['Uttar Pradesh', ' Bihar', ' Jharkhand', ' West Bengal', ' Orissa', ' Assam', ' Arunachal Pradesh', ' Assam', ' Manipur', ' Meghalaya', ' Mizoram', ' Nagaland', ' Sikkim', ' Tripura']",140
Wheat,WHD 943,"['Punjab', ' Haryana', ' Delhi', ' Rajasthan', ' Uttar Pradesh', ' Jammu And Kashmir', ' Himachal Pradesh', ' Uttarakhand']",140
Wheat,Netravati (NIAW 1415),"['Maharashtra', ' Karnataka']",140
Barley,BH-902,"['Punjab', ' Haryana', '  Uttar Pradesh', ' Delhi', ' Rajasthan', ' Uttarakhand', ' Jammu And Kashmir']",130
Barley,DWRB 73,"['Punjab', ' Haryana', ' Uttar Pradesh', ' Delhi', ' Rajasthan']",160
Barley,Pusa Losar (BH- 380),"['Himachal Pradesh', ' Uttarakhand', ' Jammu And Kashmir', ' Arunachal Pradesh', ' Assam', ' Manipur', ' Meghalaya', ' Mizoram', ' Nagaland', ' Sikkim', ' Tripura']",190
Maize,HSC1,"['Himachal Pradesh', ' Uttarakhand']",81
Maize,HQPM-4,"['Punjab', ' Haryana', ' Delhi', ' Uttar Pradesh', ' Bihar', ' Jharkhand', ' Orissa', ' Andhra Pradesh', ' Karnataka', ' Tamil Nadu', ' Maharashtra', ' Rajasthan', ' Madhya Pradesh', ' Gujarat', ' Chhattisgarh']",95
Maize,MCH 36 (Hybrid) (DKC 9099),"['Karnataka', ' Tamil Nadu', ' Maharashtra']",99
Maize,DHM 119 (BH 4062),"['Andhra Pradesh', ' Maharashtra', ' Tamil Nadu', ' Karnataka']",92
Maize,PMH 4 (JH 31153),"['Punjab', ' Haryana', ' Delhi', ' Uttar Pradesh']",92
Maize,PMH 5 (JH 3110),"['Rajasthan', ' Madhya Pradesh', ' Gujarat', ' Chhattisgarh']",92
Pearl Millet,Nandi-65 (MH-1549),"['Rajasthan', ' Gujarat', ' Haryana', ' Madhya Pradesh', ' Uttar Pradesh', ' Punjab', ' Delhi']",80
Pearl Millet,Nandi-61 (MH-1548),"['Rajasthan', ' Gujarat', ' Haryana', ' Punjab', ' Delhi']",81
Pearl Millet,86M64 (MSH 203) (Hybrid),"['Rajasthan', ' Gujarat', ' Maharashtra', ' Tamil Nadu']",83
